use Office

db.createCollection('Workers')

db.createCollection('Exworkers')

db.Workers.insert({'_id': '24868', 'Name': 'Benjamin Taylor', 'Department': 'Support', 'Post': 'Developer', 'Education': 'Medical', 'Gender': 'Male', 'Age': '27', 'City': 'Canada', 'Salary': 6634.0, 'Mobile': '8060371382', 'E-Mail': 'BenjaminTaylor1004@gmail.com'})
db.Workers.insert({'_id': '24581', 'Name': 'Amie Shelton', 'Department': 'Sales', 'Post': 'Sales Representative', 'Education': 'Life Sciences', 'Gender': 'Female', 'Age': '41', 'City': 'Barlin', 'Salary': 40895.0, 'Mobile': '6892698875', 'E-Mail': 'AmieShelton1406@gmail.com'})
db.Workers.insert({'_id': '24346', 'Name': 'Donald Noah', 'Department': 'Human Resources', 'Post': 'Human Resources', 'Education': 'Other', 'Gender': 'Male', 'Age': '58', 'City': 'Mosco', 'Salary': 12781.0, 'Mobile': '5833058393', 'E-Mail': 'DonaldNoah717@outlook.com'})
db.Workers.insert({'_id': '24353', 'Name': 'Laura Moore', 'Department': 'Human Resources', 'Post': 'Sales Executive', 'Education': 'Human Resources', 'Gender': 'Female', 'Age': '44', 'City': 'Delhi', 'Salary': 29984.0, 'Mobile': '3388186399', 'E-Mail': 'LauraMoore328@outlook.com'})
db.Workers.insert({'_id': '24325', 'Name': 'Steven Traficante', 'Department': 'Human Resources', 'Post': 'Healthcare Representative', 'Education': 'Human Resources', 'Gender': 'Male', 'Age': '25', 'City': 'Kolkata', 'Salary': 51530.0, 'Mobile': '6064028435', 'E-Mail': 'StevenTraficante828@gmail.com'})
db.Workers.insert({'_id': '24486', 'Name': 'Sam Barker', 'Department': 'Support', 'Post': 'Human Resources', 'Education': 'Life Sciences', 'Gender': 'Male', 'Age': '56', 'City': 'Chennai', 'Salary': 7667.0, 'Mobile': '6505523757', 'E-Mail': 'SamBarker442@outlook.com'})
db.Workers.insert({'_id': '25310', 'Name': 'Anita Fletcher', 'Department': 'Sales', 'Post': 'Healthcare Representative', 'Education': 'Human Resources', 'Gender': 'Female', 'Age': '24', 'City': 'New York', 'Salary': 69546.0, 'Mobile': '8913735433', 'E-Mail': 'AnitaFletcher1804@gmail.com'})
db.Workers.insert({'_id': '24983', 'Name': 'James Coupe', 'Department': 'Research & Development', 'Post': 'Research Director', 'Education': 'Technical Degree', 'Gender': 'Male', 'Age': '46', 'City': 'Tokio', 'Salary': 82486.0, 'Mobile': '8175132407', 'E-Mail': 'JamesCoupe293@gmail.com'})
db.Workers.insert({'_id': '24759', 'Name': 'Mary Anderson', 'Department': 'Sales', 'Post': 'Research Director', 'Education': 'Technical Degree', 'Gender': 'Female', 'Age': '56', 'City': 'Nairobi', 'Salary': 10038.0, 'Mobile': '5317646603', 'E-Mail': 'MaryAnderson406@gmail.com'})
db.Workers.insert({'_id': '24525', 'Name': 'Rita Kneeland', 'Department': 'Hardware', 'Post': 'Laboratory Technician', 'Education': 'Other', 'Gender': 'Female', 'Age': '38', 'City': 'Mumbai', 'Salary': 70249.0, 'Mobile': '4795537905', 'E-Mail': 'RitaKneeland667@gmail.com'})
db.Workers.insert({'_id': '25267', 'Name': 'Phyllis Dozier', 'Department': 'Research & Development', 'Post': 'Research Scientist', 'Education': 'Human Resources', 'Gender': 'Female', 'Age': '44', 'City': 'Haidrabad', 'Salary': 11091.0, 'Mobile': '7574508467', 'E-Mail': 'PhyllisDozier1401@outlook.com'})
